Country Name;Region;World Rank;Region Rank;2021 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Djibouti;Sub-Saharan Africa;126;22;56,2;42,8;28,2;27,9;79,6;80,4;79,4;63,3;49,4;70,4;43,2;60;50
Dominica;Americas;147;25;53,0;51,2;66,3;51,0;70,0;7,4;6,1;68,4;67,0;82,4;55,6;70;40
Dominican Republic;Americas;88;17;62,1;51,2;28,8;34,6;84,6;91,7;84,4;56,4;58,7;75,3;69,4;70;40
Ecuador;Americas;149;27;52,4;39,5;24,7;38,5;77,1;58,5;75,9;50,4;47,9;81,7;59,8;35;40
Egypt;Middle East and North Africa;130;11;55,7;51,2;54,0;37,0;86,9;73,1;6,0;62,7;51,4;64,3;67,0;65;50
El Salvador;Americas;94;18;61,0;39,9;33,5;34,2;77,9;81,0;79,6;52,4;52,2;81,0;70,8;70;60
Equatorial Guinea;Sub-Saharan Africa;163;41;49,2;27,8;15,4;17,0;75,2;90,0;96,1;36,4;34,4;79,4;48,8;40;30
Eritrea;Sub-Saharan Africa;173;45;42,3;24,2;15,4;21,0;74,0;64,3;78,1;17,3;69,6;55,0;69,2;0;20
Estonia;Europe;8;4;78,2;81,8;80,8;86,4;81,0;54,4;99,6;72,7;57,8;79,7;84,0;90;70
Eswatini;Sub-Saharan Africa;137;27;55,1;48,5;46,1;36,4;78,7;64,3;16,4;61,5;69,5;78,2;71,4;50;40
Ethiopia;Sub-Saharan Africa;151;35;51,7;23,2;33,8;31,5;78,2;91,9;79,6;47,5;57,4;60,6;61,4;35;20
Fiji;Asia-Pacific;87;15;62,2;60,6;40,4;46,8;86,2;71,1;68,4;61,3;77,2;74,9;55,0;55;50
Finland;Europe;17;10;76,1;91,9;82,2;97,2;68,0;14,3;91,4;85,8;50,5;83,3;84,0;85;80
France;Europe;64;34;65,7;82,2;69,2;80,1;50,7;6,3;69,0;80,2;44,8;77,3;84,0;75;70
